DateTime,AddedIPs,RemovedIPs
1582382521,30,22
1582383121,19,28
1582383722,30,30
1582385521,26,23
1582386121,28,0
1582387321,37,62
1582388521,28,46
1582389121,25,27
1582389722,26,24
1582390921,32,17
1582391521,24,0
1582392122,22,30
1582393321,27,57
1582394521,25,30
1582395121,26,25
1582395722,16,0
1582396322,26,52
1582396921,28,0
1582398121,28,21
1582399322,19,0
1582399921,24,30
1582400521,28,0
1582401121,9,22
1582402321,18,42
1582402921,32,0
1582403521,24,49
1582404722,30,32
1582405321,25,31
1582406521,11,0
1582407721,27,71
1582408921,21,26
1582409521,35,30
1582410722,32,0
1582411321,21,36
1582411921,37,29
1582412521,21,0
1582413721,12,47
1582414921,28,0
1582416121,24,58
1582416722,29,44
1582417921,38,0
1582418521,31,0
1582419721,28,47
1582420921,27,25
1582422121,31,57
1582423321,31,33
1582423921,19,34
1582425121,40,26
1582425721,34,0
1582426921,33,67
1582428121,23,0
1582429321,27,27
1582430522,24,108
1582431122,21,0
1582431721,4,0
1582432922,10,34
1582434122,24,68
1582435322,35,43
1582436522,16,59
1582437721,32,26
1582438921,24,20
1582440122,11,0
1582441321,25,59
1582442521,15,0
1582443721,24,34
1582444921,21,24
1582445522,21,25
1582446722,25,24
1582447921,21,24
1582449121,22,52
1582449722,36,0
1582450921,27,49
1582452121,28,24
1582453321,11,31
1582453921,18,21
1582454522,28,45
1582455122,36,34
1582455721,30,26
1582456922,28,54
1582458121,20,30
1582459321,31,94
1582460521,30,29
1582461722,31,30
1582462921,34,29
1582464121,22,62
1582464721,25,25
1582465321,53,22
1582466521,31,9
1582467721,34,25
1582468321,40,60
1582469521,38,17
1582470121,30,0
1582470721,12,0
1582471321,33,42
1582472521,28,59
1582473121,33,43
1582473722,39,0
1582474921,26,16
1582475521,34,0
1582476122,28,30
1582477321,10,30
1582478521,29,50
1582479721,20,29
1582480321,37,62
1582481521,31,0
1582482121,26,61
1582482722,36,0
1582483321,34,0
1582484521,27,54
1582485121,22,23
1582486321,40,39
1582486921,26,25
1582488121,18,13
1582489322,37,62
1582490522,32,35
1582491721,25,29
1582492921,24,51
1582494121,27,0
1582495321,27,32
1582496522,31,25
1582497721,16,58
1582498921,46,25
1582500121,19,73
1582501321,28,29
1582502521,23,35
1582503121,35,33
1582503721,24,76
1582504322,34,33
1582505521,22,0
1582506121,29,0
1582507321,27,25
1582508521,29,39
1582509721,30,28
1582510921,26,90
1582511521,36,0
1582512121,36,69
1582513321,35,0
1582514521,22,50
1582515121,36,0
1582515721,15,0
1582516921,29,27
1582518121,15,51
1582519321,30,0
1582519921,30,13
1582520521,29,21
1582521721,30,22
1582522922,38,0
1582524121,43,12
1582525321,30,19
1582526521,28,46
1582527721,28,0
1582528922,34,69
1582529521,23,0
1582530122,31,27
1582531322,19,33
1582532521,12,32
1582533721,25,27
1582534921,23,33
1582536122,16,27
1582537321,19,73
1582538521,27,0
1582539721,32,3
1582540321,16,45
1582540921,41,69
1582541521,29,0
1582542121,26,28
1582543321,30,29
1582544521,20,27
1582545721,31,57
1582546921,15,0
1582548121,35,20
1582549321,27,67
1582549921,15,0
1582550521,26,23
1582551122,34,28
1582551722,38,0
1582552921,29,48
1582553522,35,21
1582554121,37,0
1582554721,32,25
1582555921,31,34
1582556521,33,35
1582557121,46,18
1582557721,40,31
1582558321,38,0
1582558922,33,30
1582559522,38,31
1582560121,40,34
1582561322,37,29
1582562522,28,57
1582563721,31,0
1582564922,30,50
1582566122,35,29
1582566722,30,0
1582567321,31,63
1582568521,33,0
1582569722,26,101
1582570921,39,26
1582571522,36,19
1582572121,27,33
1582573321,31,0
1582573921,37,26
1582574522,35,25
1582575721,48,44
1582576321,37,0
1582576922,33,0
1582577521,31,36
1582578121,33,29
1582579322,36,0
1582580522,33,30
1582581121,34,57
1582582921,33,7
1582584121,29,18
1582585321,35,42
1582585922,30,0
1582586521,25,22
1582587121,35,0
1582587721,31,34
1582588921,26,24
1582589522,27,0
1582590121,30,26
1582591321,22,17
1582592522,22,64
1582593722,19,51
1582594922,31,31
1582596122,26,30
1582597322,20,18
1582598521,39,31
1582599722,30,72
1582600921,19,0
1582602122,32,81
1582603321,30,29
1582603921,25,0
1582604521,26,37
1582605721,27,31
1582606921,31,32
1582608121,17,32
1582609321,28,63
1582610521,34,0
1582611721,20,30
1582612921,27,26
1582613521,37,61
1582615321,39,0
1582615922,35,26
1582616521,28,60
1582617721,28,0
1582618921,32,18
1582620122,30,36
1582621321,36,23
1582622521,36,0
1582623722,33,29
1582624321,35,23
1582624921,35,29
1582625521,22,0
1582626121,30,36
1582626722,31,24
1582627921,26,55
1582628521,30,0
1582629121,33,29
1582629721,28,29
1582630922,23,15
1582631521,40,0
1582632122,29,28
1582633322,31,19
1582634521,26,34
1582635121,34,0
1582635721,22,12
1582636321,26,7
1582636922,38,17
1582637522,40,0
1582638121,31,27
1582639321,26,27
1582640521,20,59
1582641721,24,61
1582642921,29,33
1582644122,17,110
1582644721,37,0
1582645322,35,27
1582646521,37,35
1582647721,33,84
1582648921,31,26
1582649521,36,21
1582650121,32,0
1582651321,25,49
1582651921,4,0
1582652521,32,0
1582653721,35,37
1582654321,14,33
1582654921,5,57
1582656121,24,0
1582656721,24,25
1582657321,37,31
1582657921,35,0
1582658522,20,51
1582659721,32,31
1582660921,39,27
1582661521,32,41
1582662121,34,0
1582663321,22,67
1582663921,8,69
1582664521,38,36
1582665722,40,0
1582666321,40,23
1582667521,22,26
1582668121,34,0
1582669321,30,55
1582669921,31,0
1582670522,10,0
1582671722,29,28
1582672921,20,60
1582674121,29,74
1582674722,33,0
1582675321,33,0
1582676521,36,61
1582677122,33,31
1582677721,32,13
1582678922,32,0
1582679521,29,33
1582680121,26,0
1582680721,34,27
1582681321,28,0
1582682522,23,33
1582683721,23,32
1582684321,33,16
1582684921,33,25
1582685521,22,0
1582686721,35,40
1582687921,26,28
1582688521,34,0
1582689722,33,29
1582690922,19,57
1582691521,9,7
1582693321,32,30
1582694521,16,26
1582695721,34,29
1582696921,25,59
1582697521,35,0
1582698721,30,52
1582699322,21,27
1582700521,28,0
1582701722,26,44
1582702921,21,36
1582704121,30,29
1582705321,29,28
1582706521,24,27
1582707721,6,29
1582708921,26,62
1582710121,27,0
1582710721,23,30
1582711321,34,28
1582711921,28,68
1582712521,30,0
1582713122,29,36
1582713721,27,0
1582714921,23,60
1582715522,34,34
1582716121,25,32
